main_id,sp_type,rvz_radvel,rvz_type,query_id
HAT-P-29,,-21.11,v,HAT-P-29
HAT-P-3,K1V,-23.201,v,HAT-P-3
BD+06  1909,F7,44.581,v,HAT-P-30
HAT-P-31,,-3.24,v,HAT-P-31
HAT-P-32,,-23.299,v,HAT-P-32
HAT-P-33,F4,23.187,v,HAT-P-33
HD 351766,F8,-48.11,v,HAT-P-34
HAT-P-35,,40.81,v,HAT-P-35
HAT-P-36,,-16.434,v,HAT-P-36
HAT-P-37,,,,HAT-P-37
HAT-P-38,G,-19.85,v,HAT-P-38
HAT-P-39,F4,27.91,v,HAT-P-39
BD+36  2593,F,-1.469,v,HAT-P-4
HAT-P-40,,-25.874,v,HAT-P-40
HAT-P-41,,33.24,v,HAT-P-41
HAT-P-42,,20.605,v,HAT-P-42
HAT-P-43,F9,-5.182,v,HAT-P-43
HAT-P-44,,-34.111401,v,HAT-P-44
HAT-P-45,F5,23.42,v,HAT-P-45
HAT-P-46,,-21.62,v,HAT-P-46
HD 340099,A8,14.392,v,HAT-P-49
HAT-P-5,G1V,7.58,v,HAT-P-5
HAT-P-50,F5,5.11,v,HAT-P-50
HAT-P-51,G7,-27.25,v,HAT-P-51
HAT-P-52,K1,61.89,v,HAT-P-52
HAT-P-53,,-18.84,v,HAT-P-53
HAT-P-54,K7,28.65,v,HAT-P-54
HAT-P-55,G2,-12.5,v,HAT-P-55
HD 262389,F8,36.03,v,HAT-P-56
BD+10  3472,,-9.62,v,HAT-P-57
HAT-P-58,,-36.02,v,HAT-P-58
HAT-P-59,,-20.72,v,HAT-P-59
BD+41  4831,F8V,-22.607,v,HAT-P-6
HAT-P-60,,6.79,v,HAT-P-60
HAT-P-61,,3.72,v,HAT-P-61
HAT-P-62,,51.16,v,HAT-P-62
HAT-P-63,,,,HAT-P-63
HAT-P-64,,26.5,v,HAT-P-64
HAT-P-65,,-47.77,v,HAT-P-65
HAT-P-66,F9,3.13,v,HAT-P-66
BD+44  2654,F5,-1.67,v,HAT-P-67
HAT-P-68,,,,HAT-P-68
1SWASP J084201.35+034238.0,A7V(Sr),0.087937,v,HAT-P-69
BD+47  2846,F6V,-10.578,v,HAT-P-7
BD+34  4779,F8V,-22.492,v,HAT-P-8
HAT-P-9,F,22.594,v,HAT-P-9
HATS-1,,-10.44,v,HATS-1
HATS-10,,-28.2,v,HATS-10
HATS-11,,-58.324,v,HATS-11
HATS-12,,-21.916,v,HATS-12
HATS-13,,,,HATS-13
HATS-14,,,,HATS-14
HATS-15,G9,,,HATS-15
HATS-16,,,,HATS-16
HATS-17,,22.972,v,HATS-17
HATS-18,,7663.3,v,HATS-18
HATS-2,,,,HATS-2
HATS-22,,-7.98,v,HATS-22
HATS-23,,,,HATS-23
HATS-24,,-4.03,v,HATS-24
HATS-25,,31.663,v,HATS-25
HATS-26,,-7.47,v,HATS-26
HATS-27,,-1.08,v,HATS-27
HATS-28,,-8.65,v,HATS-28
HATS-29,,-19.761999,v,HATS-29
HATS-3,,,,HATS-3
HATS-30,,1.26,v,HATS-30
HATS-31,,-8.7045,v,HATS-31
HATS-32,,12.423,v,HATS-32
HATS-33,,12.17,v,HATS-33
HATS-34,,17.285999,v,HATS-34
HATS-35,,-13.96,v,HATS-35
HATS-36,,-24.392,v,HATS-36
HATS-38,,4.91,v,HATS-38
HATS-39,,2.9162,v,HATS-39
HATS-4,,27.31,v,HATS-4
HATS-40,,9.194,v,HATS-40
HATS-41,,37.25,v,HATS-41
HATS-42,,8.163,v,HATS-42
HATS-43,,,,HATS-43
HATS-44,,,,HATS-44
HATS-45,,,,HATS-45
HATS-46,,,,HATS-46
TOI-1073,,,,HATS-47
HATS-48,,,,HATS-48A
HATS-49,,,,HATS-49
HATS-5,,5.65,v,HATS-5
HATS-50,,,,HATS-50
HATS-51,,3.86,v,HATS-51
HATS-52,,13.116,v,HATS-52
HATS-53,,,,HATS-53
HATS-54,,,,HATS-54
HATS-55,,1.06,v,HATS-55
HATS-56,,39.8,v,HATS-56
HATS-57,,-0.5,v,HATS-57
HATS-58A,,17.64,v,HATS-58A
HATS-59,,,,HATS-59
HATS-6,M1V,,,HATS-6
HATS-60,,28.99,v,HATS-60
HATS-61,,,,HATS-61
HATS-62,,,,HATS-62
HATS-63,,,,HATS-63
HATS-64,,,,HATS-64
HATS-65,,-13.84,v,HATS-65
HATS-66,,,,HATS-66
HATS-67,,,,HATS-67
HATS-68,,12.371,v,HATS-68
HATS-69,,,,HATS-69
HATS-7,K2V,9.129,v,HATS-7
HATS-70,,,,HATS-70
HATS-71,M3,24.1,v,HATS-71
HATS-72,,15.935,v,HATS-72
HATS-74,,,,HATS-74A
TOI-552,M0.5V,,,HATS-75
V* GQ Lup,K7Ve,-3.6,v,V* GQ Lup
V* GU Psc,M3,-1.5,v,V* GU Psc
TOI-555,M1.5V,,,HATS-76
HATS-77,,,,HATS-77
HATS-8,,,,HATS-8
HATS-9,,-10.644,v,HATS-9
HD 100508,K1IV,13.763,v,HD 100508
HD 100546,A0VaekB8_lB,9.1,v,HD 100546
HD 100655,G9III,-4.85,v,HD 100655
HD 100777,G8V,1.169,v,HD 100777
HD  10180,G1V,35.461,v,HD  10180
HD 101930,K2V+,18.298,v,HD 101930
HD 102117,G6V,49.525,v,HD 102117
HD 102195,K0V,2.05,v,HD 102195
HD 102272,K2,-11.99,v,HD 102272
HD 102329,K0III,14.88,v,HD 102329
HD 102365,G2V,16.947,v,HD 102365
HD 102843,K0V,21.618,v,HD 102843
HD 102888,G8III,-1.97,v,HD 102888
HD 102956,K0III,-25.95,v,HD 102956
HD 103197,K1V(p),-4.398,v,HD 103197
HD 103720,K1IV/V,-6.613,v,HD 103720
HD 103774,F6V,-3.126,v,HD 103774
HD 103891,F8V,12.214,v,HD 103891
HD 103949,K3V,-10.159,v,HD 103949
HD 104067,K2V,15.055,v,HD 104067
HD  10442,K0IV,7.94,v,HD  10442
HD 104985,G8.5IIIb,-19.6674,v,HD 104985
HD 105618,G0,7.47,v,HD 105618
HD 105779,G3V,23.274,v,HD 105779
HD 106252,G0,15.533,v,HD 106252
HD 106270,G5IV,24.45,v,HD 106270
HD 106315,F5V,-2.7169,v,HD 106315
* q01 Eri,F9V,27.662,v,HD  10647
HD 106515A,G5V,20.781,v,HD 106515A
HD 106906,F5V,10.2,v,HD 106906
* 109 Psc,G3Va,-45.882,v,HD  10697
HD 107148,G5V,25.244,v,HD 107148
HD 108147,F8/G0V,-5.047,v,HD 108147
HD 108202,K4/5V,-5.918,v,HD 108202
HD 108236,G5V,16.732,v,HD 108236
HD 108341,K2V,56.662,v,HD 108341
HD 108863,K0III-IV,-27.832,v,HD 108863
HD 108874,G9V,-30.052,v,HD 108874
HD 109246,G0V,-19.536,v,HD 109246
HD 109271,G3/5V,-4.971,v,HD 109271
HD 109286,G5,-7.612,v,HD 109286
HD 109749,G3V,-13.2,v,HD 109749
HD  10975,K0III,35.11,v,HD  10975
HD 109833,G3V,10.12,v,HD 109833
HD 109988,K0IV/V,-17.312,v,HD 109988
* chi Vir,K2+IIICN0.5,-18.94,v,HD 110014
HD 110067,K0V,-8.77,v,HD 110067
HD 110082,F6/7V,4.33,v,HD 110082
HD 110113,G8V,17.13,v,HD 110113
HD 110537,G6/8V,35.594,v,HD 110537
HD  11112,G3V,36.31,v,HD  11112
HD 111232,G8VFe-1.0,104.55,v,HD 111232
HD 111591,K0III,5.775,v,HD 111591
*  38 Vir,F6V,-7.3,v,HD 111998
* del Vir,M3+III,-18.87,v,HD 112300
HD 112570,K0III-IV,6.49,v,HD 112570
HD 112640,K0,-12.36,v,HD 112640
HD 113337,F6V,-15.546,v,HD 113337
HD 113538,K9Vk:,39.047,v,HD 113538
*  41 Com,K5-III,-17.38,v,HD 113996
HD 114082,F3V,7.56,v,HD 114082
HD 114386,K3V,33.35,v,HD 114386
HD 114729,G0V,64.922,v,HD 114729
HD 114783,K1V,-11.966,v,HD 114783
HD  11505,G5V,-16.476,v,HD  11505
HD  11506,G0V,-7.37,v,HD  11506
HD 115404,K2V,7.781,v,HD 115404A
HD 115954,G5V,-14.78,v,HD 115954
HD 116029,K1IV,-6.42,v,HD 116029
HD 117207,G7IV-V,-17.413,v,HD 117207
HD  11755,G5,-86.72,v,HD  11755
HD 117618,G0V,1.176,v,HD 117618
HD 118203,G0V,-29.316,v,HD 118203
HD  11964,G9VCN+1,-9.334,v,HD  11964
* eta02 Hyi,G8IIIb,-17.928,v,HD  11977
HD 120084,G7III,-8.8,v,HD 120084
HD 121504,G2V,19.603,v,HD 121504
* 112 Psc,G2IV,-18.222,v,HD  12235
HD 122562,G5,-14.06,v,HD 122562
HD 124330,G4IV,-30.751,v,HD 124330
HD  12484,G1/2V,4.888,v,HD  12484
HD 125271,K3+Vk:,-3.115,v,HD 125271
HD 125390,G5,-76.52,v,HD 125390
HD 125595,K4Vk:,5.196,v,HD 125595
